,0
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,22
322,22
323,22
324,22
325,22
326,22
327,22
328,22
329,22
330,22
331,22
332,22
333,22
334,22
335,22
336,22
337,22
338,22
339,22
340,22
341,22
342,22
343,22
344,22
345,22
346,22
347,22
348,22
349,22
350,22
351,22
352,22
353,22
354,22
355,22
356,22
357,22
358,22
359,22
360,22
361,22
362,7
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,7
379,7
380,22
381,22
382,22
383,22
384,22
385,22
386,22
387,22
388,22
389,22
390,22
391,22
392,22
393,22
394,22
395,22
396,22
397,22
398,22
399,22
400,22
401,22
402,22
403,22
404,22
405,22
406,7
407,7
408,7
409,7
410,7
411,7
412,7
413,7
414,7
415,7
416,7
417,7
418,7
419,7
420,7
421,7
422,22
423,22
424,22
425,22
426,22
427,22
428,22
429,22
430,22
431,22
432,10
433,7
434,7
435,7
436,7
437,7
438,7
439,7
440,7
441,7
442,7
443,7
444,7
445,7
446,7
447,7
448,7
449,7
450,7
451,7
452,7
453,7
454,7
455,7
456,7
457,7
458,7
459,7
460,22
461,22
462,22
463,22
464,22
465,22
466,22
467,22
468,22
469,22
470,22
471,7
472,7
473,7
474,7
475,7
476,7
477,7
478,7
479,7
480,7
481,7
482,7
483,7
484,7
485,7
486,7
487,7
488,7
489,7
490,7
491,7
492,7
493,7
494,7
495,7
496,7
497,7
498,7
499,7
500,7
501,13
502,13
503,13
504,13
505,13
506,13
507,13
508,13
509,13
510,13
511,13
512,13
513,13
514,13
515,13
516,13
517,13
518,13
519,13
520,13
521,13
522,13
523,13
524,13
525,7
526,7
527,7
528,20
529,20
530,20
531,20
532,20
533,20
534,21
535,21
536,21
537,21
538,16
539,16
540,16
541,16
542,16
543,16
544,13
545,13
546,13
547,13
548,13
549,13
550,13
551,13
552,13
553,13
554,13
555,13
556,13
557,13
558,13
559,13
560,13
561,13
562,13
563,13
564,13
565,13
566,13
567,13
568,13
569,13
570,13
571,13
572,13
573,13
574,13
575,13
576,13
577,13
578,13
579,13
580,13
581,13
582,13
583,13
584,13
585,13
586,13
587,13
588,13
589,13
590,13
591,13
592,13
593,13
594,13
595,13
596,13
597,13
598,13
599,13
600,13
601,13
602,13
603,13
604,13
605,13
606,13
607,13
608,13
609,13
610,13
611,13
612,13
613,13
614,10
615,10
616,10
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
625,3
626,3
627,3
628,3
629,3
630,3
631,3
632,3
633,3
634,3
635,3
636,3
637,3
638,3
639,16
640,16
641,16
642,16
643,16
644,16
645,16
646,16
647,16
648,16
649,16
650,16
651,16
652,16
653,16
654,16
655,16
656,16
657,16
658,16
659,16
660,16
661,16
662,16
663,16
664,16
665,16
666,16
667,16
668,16
669,16
670,16
671,16
672,16
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,20
682,20
683,0
684,0
685,0
686,0
687,0
688,20
689,20
690,20
691,20
692,20
693,20
694,20
695,20
696,20
697,20
698,20
699,20
700,20
701,20
702,20
703,20
704,20
705,20
706,20
707,20
708,20
709,20
710,20
711,20
712,0
713,0
714,20
715,20
716,20
717,20
718,20
719,20
720,20
721,20
722,20
723,20
724,20
725,20
726,20
727,0
728,0
729,0
730,0
731,0
732,20
733,20
734,20
735,20
736,20
737,20
738,20
739,0
740,0
741,0
742,0
743,0
744,16
745,16
746,16
747,16
748,16
749,16
750,16
751,16
752,16
753,16
754,16
755,16
756,16
757,16
758,16
759,16
760,16
761,0
762,0
763,0
764,0
765,16
766,16
767,16
768,16
769,16
770,16
771,16
772,16
773,16
774,16
775,16
776,16
777,16
778,16
779,16
780,16
781,16
782,16
783,16
784,16
785,16
786,20
787,20
788,0
789,20
790,20
791,20
792,0
793,0
794,0
795,16
796,16
797,16
798,16
799,16
800,16
801,16
802,16
803,16
804,16
805,16
806,16
807,16
808,16
809,16
810,16
811,16
812,0
813,0
814,20
815,20
816,20
817,3
818,3
819,3
820,3
821,3
822,3
823,3
824,3
825,3
826,3
827,3
828,3
829,3
830,3
831,3
832,3
833,3
834,3
835,3
836,3
837,10
838,13
839,13
840,13
841,13
842,13
843,13
844,13
845,13
846,13
847,13
848,13
849,13
850,13
851,3
852,20
853,20
854,0
855,0
856,20
857,20
858,20
859,20
860,20
861,20
862,20
863,20
864,20
865,20
866,20
867,0
868,0
869,0
870,0
871,20
872,20
873,20
874,20
875,20
876,20
877,20
878,20
879,0
880,0
881,0
882,20
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,20
897,20
898,3
899,3
900,3
901,3
902,3
903,3
904,3
905,3
906,3
907,3
908,3
909,3
910,3
911,3
912,3
913,3
914,3
915,3
916,3
917,3
918,3
919,3
920,3
921,3
922,3
923,3
924,3
925,3
926,3
927,3
928,3
929,3
930,3
931,3
932,3
933,0
934,0
935,20
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,12
946,12
947,12
948,12
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,21
959,21
960,21
961,21
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,16
970,16
971,16
972,16
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,12
984,12
985,12
986,12
987,12
988,12
989,12
990,0
991,0
992,12
993,12
994,12
995,12
996,12
997,12
998,12
999,12
1000,21
1001,21
1002,21
1003,21
1004,21
1005,12
1006,12
1007,12
1008,12
1009,12
1010,12
1011,12
1012,12
1013,12
1014,12
1015,12
1016,12
1017,12
1018,12
1019,12
1020,12
1021,21
1022,21
1023,21
1024,21
1025,21
1026,21
1027,21
1028,21
1029,21
1030,21
1031,12
1032,12
1033,12
1034,12
1035,12
1036,12
1037,21
1038,21
1039,21
1040,21
1041,21
1042,21
1043,21
1044,21
1045,21
1046,21
1047,21
1048,21
1049,21
1050,12
1051,12
1052,12
1053,12
1054,12
1055,12
1056,21
1057,21
1058,21
1059,21
1060,21
1061,21
1062,21
1063,21
1064,21
1065,12
1066,12
1067,12
1068,12
1069,12
1070,12
1071,12
1072,12
1073,12
1074,21
1075,21
1076,21
1077,21
1078,21
1079,21
1080,21
1081,21
1082,21
1083,21
1084,21
1085,21
1086,12
1087,12
1088,12
1089,12
1090,12
1091,12
1092,12
1093,12
1094,12
1095,12
1096,12
1097,12
1098,12
1099,12
1100,12
1101,12
1102,12
1103,12
1104,12
1105,12
1106,12
1107,12
1108,12
1109,12
1110,12
1111,12
1112,12
1113,12
1114,12
1115,12
1116,12
1117,12
1118,12
1119,12
1120,12
1121,12
1122,12
1123,8
1124,8
1125,8
1126,8
1127,8
1128,8
1129,8
1130,8
1131,8
1132,8
1133,8
1134,8
1135,8
1136,8
1137,8
1138,8
1139,8
1140,8
1141,8
1142,12
1143,12
1144,2
1145,2
1146,2
1147,2
1148,21
1149,21
1150,21
1151,21
1152,21
1153,21
1154,12
1155,12
1156,12
1157,12
1158,12
1159,12
1160,12
1161,12
1162,12
1163,12
1164,18
1165,18
1166,18
1167,18
1168,18
1169,18
1170,18
1171,18
1172,18
1173,18
1174,18
1175,18
1176,18
1177,18
1178,18
1179,18
1180,18
1181,18
1182,18
1183,18
1184,18
1185,18
1186,18
1187,18
1188,18
1189,18
1190,18
1191,8
1192,8
1193,8
1194,8
1195,8
1196,8
1197,8
1198,8
1199,8
1200,8
1201,8
1202,8
1203,8
1204,8
1205,8
1206,8
1207,8
1208,8
1209,8
1210,8
1211,8
1212,8
1213,8
1214,8
1215,8
1216,8
1217,8
1218,8
1219,8
1220,8
1221,8
1222,8
1223,8
1224,8
1225,8
1226,8
1227,8
1228,8
1229,8
1230,8
1231,8
1232,8
1233,8
1234,18
1235,18
1236,18
1237,18
1238,21
1239,21
1240,21
1241,21
1242,21
1243,21
1244,12
1245,12
1246,12
1247,12
1248,12
1249,12
1250,8
1251,8
1252,8
1253,8
1254,8
1255,8
1256,8
1257,8
1258,8
1259,8
1260,8
1261,8
1262,8
1263,8
1264,8
1265,8
1266,8
1267,8
1268,8
1269,8
1270,8
1271,8
1272,8
1273,8
1274,8
1275,8
1276,8
1277,8
1278,8
1279,18
1280,18
1281,18
1282,18
1283,18
1284,18
1285,18
1286,18
1287,18
1288,18
1289,18
1290,18
1291,18
1292,18
1293,18
1294,18
1295,18
1296,18
1297,18
1298,18
1299,18
1300,18
1301,18
1302,18
1303,18
1304,18
1305,18
1306,18
1307,18
1308,18
1309,18
1310,18
1311,18
1312,18
1313,18
1314,18
1315,18
1316,18
1317,18
1318,21
1319,21
1320,21
1321,8
1322,8
1323,8
1324,8
1325,8
1326,8
1327,8
1328,8
1329,12
1330,12
1331,18
1332,18
1333,18
1334,18
1335,18
1336,18
1337,18
1338,18
1339,18
1340,18
1341,18
1342,18
1343,18
1344,18
1345,18
1346,2
1347,2
1348,2
1349,2
1350,2
1351,2
1352,2
1353,2
1354,2
1355,2
1356,2
1357,2
1358,2
1359,21
1360,21
1361,21
1362,21
1363,21
1364,21
1365,21
1366,21
1367,23
1368,23
1369,23
1370,23
1371,23
1372,21
1373,21
1374,21
1375,21
1376,21
1377,21
1378,21
1379,23
1380,23
1381,23
1382,23
1383,23
1384,23
1385,23
1386,23
1387,23
1388,23
1389,23
1390,23
1391,23
1392,23
1393,23
1394,23
1395,23
1396,23
1397,23
1398,21
1399,21
1400,21
1401,21
1402,21
1403,21
1404,23
1405,14
1406,14
1407,14
1408,14
1409,14
1410,14
1411,14
1412,14
1413,14
1414,14
1415,14
1416,23
1417,23
1418,23
1419,23
1420,23
1421,14
1422,23
1423,23
1424,23
1425,23
1426,23
1427,23
1428,23
1429,23
1430,23
1431,23
1432,23
1433,23
1434,21
1435,21
1436,21
1437,14
1438,14
1439,14
1440,14
1441,14
1442,14
1443,14
1444,14
1445,14
1446,14
1447,14
1448,14
1449,14
1450,14
1451,14
1452,14
1453,14
1454,14
1455,14
1456,14
1457,2
1458,2
1459,2
1460,2
1461,2
1462,2
1463,2
1464,2
1465,2
1466,2
1467,2
1468,2
1469,2
1470,2
1471,2
1472,2
1473,2
1474,2
1475,2
1476,2
1477,23
1478,23
1479,23
1480,23
1481,23
1482,23
1483,23
1484,23
1485,23
1486,23
1487,23
1488,23
1489,23
1490,14
1491,14
1492,14
1493,14
1494,14
1495,14
1496,14
1497,14
1498,14
1499,14
1500,14
1501,14
1502,14
1503,14
1504,14
1505,23
1506,23
1507,23
1508,23
1509,23
1510,23
1511,23
1512,23
1513,23
1514,23
1515,23
1516,23
1517,23
1518,2
1519,2
1520,2
1521,2
1522,2
1523,2
1524,2
1525,2
1526,2
1527,2
1528,2
1529,2
1530,2
1531,2
1532,2
1533,2
1534,2
1535,2
1536,2
1537,2
1538,2
1539,23
1540,23
1541,23
1542,23
1543,23
1544,23
1545,23
1546,23
1547,23
1548,14
1549,14
1550,14
1551,14
1552,14
1553,14
1554,14
1555,14
1556,14
1557,14
1558,14
1559,14
1560,23
1561,23
1562,23
1563,23
1564,23
1565,23
1566,23
1567,23
1568,14
1569,14
1570,23
1571,23
1572,14
1573,14
1574,14
1575,14
1576,14
1577,14
1578,14
1579,14
1580,14
1581,14
1582,23
1583,23
1584,23
1585,23
1586,23
1587,23
1588,23
1589,14
1590,14
1591,14
1592,14
1593,14
1594,14
1595,14
1596,14
1597,23
1598,14
1599,14
1600,14
1601,14
1602,14
1603,14
1604,14
1605,23
1606,23
1607,23
1608,23
1609,14
1610,2
1611,2
1612,2
1613,2
1614,2
1615,2
1616,2
1617,2
1618,2
1619,2
1620,2
1621,2
1622,2
1623,2
1624,2
1625,2
1626,2
1627,2
1628,2
1629,2
1630,2
1631,2
1632,2
1633,2
1634,2
1635,2
1636,2
1637,2
1638,14
1639,14
1640,14
1641,14
1642,14
1643,23
1644,14
1645,14
1646,14
1647,14
1648,14
1649,14
1650,14
1651,23
1652,23
1653,14
1654,14
1655,14
1656,4
1657,4
1658,4
1659,4
1660,4
1661,4
1662,4
1663,4
1664,4
1665,4
1666,4
1667,4
1668,4
1669,4
1670,4
1671,4
1672,4
1673,4
1674,4
1675,4
1676,4
1677,4
1678,4
1679,4
1680,4
1681,4
1682,4
1683,4
1684,4
1685,4
1686,4
1687,4
1688,4
1689,4
1690,4
1691,4
1692,4
1693,4
1694,4
1695,4
1696,4
1697,4
1698,4
1699,4
1700,4
1701,4
1702,4
1703,4
1704,4
1705,4
1706,4
1707,4
1708,4
1709,4
1710,4
1711,4
1712,4
1713,4
1714,4
1715,4
1716,4
1717,4
1718,4
1719,4
1720,4
1721,4
1722,4
1723,4
1724,4
1725,4
1726,4
1727,4
1728,4
1729,4
1730,4
1731,4
1732,4
1733,4
1734,4
1735,4
1736,4
1737,4
1738,4
1739,4
1740,4
1741,4
1742,4
1743,4
1744,4
1745,4
1746,4
1747,4
1748,4
1749,4
1750,4
1751,4
1752,4
1753,4
1754,4
1755,25
1756,25
1757,25
1758,25
1759,25
1760,25
1761,25
1762,25
1763,25
1764,25
1765,25
1766,25
1767,25
1768,25
1769,25
1770,25
1771,25
1772,25
1773,25
1774,5
1775,5
1776,5
1777,5
1778,5
1779,5
1780,5
1781,5
1782,5
1783,5
1784,5
1785,5
1786,5
1787,5
1788,5
1789,5
1790,5
1791,5
1792,5
1793,5
1794,5
1795,5
1796,5
1797,5
1798,5
1799,5
1800,5
1801,5
1802,5
1803,5
1804,5
1805,5
1806,5
1807,5
1808,5
1809,5
1810,5
1811,5
1812,5
1813,5
1814,5
1815,5
1816,5
1817,5
1818,5
1819,5
1820,5
1821,5
1822,5
1823,5
1824,5
1825,5
1826,5
1827,5
1828,5
1829,5
1830,5
1831,5
1832,5
1833,5
1834,5
1835,5
1836,5
1837,5
1838,5
1839,5
1840,5
1841,5
1842,5
1843,5
1844,5
1845,5
1846,5
1847,5
1848,5
1849,5
1850,5
1851,5
1852,5
1853,5
1854,5
1855,5
1856,5
1857,5
1858,5
1859,5
1860,5
1861,5
1862,5
1863,5
1864,5
1865,5
1866,5
1867,5
1868,5
1869,5
1870,5
1871,5
1872,5
1873,5
1874,5
1875,5
1876,5
1877,25
1878,25
1879,25
1880,25
1881,25
1882,25
1883,25
1884,25
1885,25
1886,25
1887,25
1888,25
1889,25
1890,25
1891,25
1892,25
1893,25
1894,25
1895,25
1896,25
1897,25
1898,25
1899,25
1900,25
1901,25
1902,25
1903,25
1904,25
1905,25
1906,15
1907,15
1908,15
1909,15
1910,15
1911,15
1912,15
1913,15
1914,15
1915,15
1916,15
1917,15
1918,15
1919,15
1920,15
1921,15
1922,15
1923,15
1924,15
1925,15
1926,15
1927,15
1928,15
1929,15
1930,15
1931,15
1932,15
1933,15
1934,15
1935,15
1936,15
1937,15
1938,15
1939,15
1940,15
1941,15
1942,15
1943,15
1944,15
1945,15
1946,15
1947,15
1948,15
1949,15
1950,15
1951,15
1952,15
1953,15
1954,15
1955,15
1956,15
1957,15
1958,15
1959,15
1960,15
1961,15
1962,15
1963,15
1964,15
1965,15
1966,15
1967,15
1968,15
1969,15
1970,15
1971,15
1972,15
1973,15
1974,15
1975,15
1976,17
1977,17
1978,17
1979,17
1980,17
1981,17
1982,17
1983,17
1984,17
1985,17
1986,17
1987,17
1988,17
1989,17
1990,17
1991,17
1992,17
1993,17
1994,15
1995,15
1996,15
1997,15
1998,15
1999,15
2000,15
2001,15
2002,15
2003,15
2004,15
2005,15
2006,15
2007,15
2008,15
2009,15
2010,15
2011,15
2012,15
2013,15
2014,15
2015,15
2016,15
2017,15
2018,15
2019,15
2020,15
2021,15
2022,15
2023,15
2024,15
2025,15
2026,15
2027,15
2028,25
2029,25
2030,25
2031,25
2032,25
2033,25
2034,25
2035,25
2036,25
2037,25
2038,25
2039,25
2040,25
2041,25
2042,25
2043,25
2044,25
2045,25
2046,25
2047,25
2048,25
2049,25
2050,25
2051,25
2052,25
2053,25
2054,25
2055,25
2056,25
2057,25
2058,25
2059,25
2060,25
2061,25
2062,25
2063,25
2064,25
2065,25
2066,25
2067,25
2068,25
2069,25
2070,25
2071,25
2072,25
2073,25
2074,25
2075,25
2076,25
2077,25
2078,25
2079,25
2080,25
2081,25
2082,25
2083,25
2084,25
2085,25
2086,25
2087,25
2088,17
2089,17
2090,17
2091,17
2092,17
2093,17
2094,17
2095,17
2096,17
2097,17
2098,17
2099,17
2100,17
2101,17
2102,17
2103,17
2104,17
2105,17
2106,17
2107,17
2108,17
2109,17
2110,17
2111,17
2112,17
2113,17
2114,17
2115,17
2116,17
2117,17
2118,17
2119,17
2120,17
2121,17
2122,17
2123,17
2124,17
2125,17
2126,17
2127,17
2128,17
2129,17
2130,17
2131,17
2132,17
2133,17
2134,17
2135,17
2136,17
2137,17
2138,17
2139,17
2140,17
2141,17
2142,17
2143,17
2144,17
2145,17
2146,17
2147,17
2148,17
2149,17
2150,17
2151,17
2152,17
2153,17
2154,17
2155,17
2156,17
2157,17
2158,17
2159,17
2160,17
2161,17
2162,17
2163,17
2164,17
2165,17
2166,17
2167,17
2168,17
2169,1
2170,19
2171,19
2172,19
2173,19
2174,19
2175,19
2176,19
2177,19
2178,19
2179,19
2180,19
2181,19
2182,19
2183,19
2184,19
2185,19
2186,19
2187,19
2188,19
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,19
2198,19
2199,19
2200,19
2201,19
2202,19
2203,19
2204,19
2205,19
2206,19
2207,19
2208,19
2209,19
2210,19
2211,19
2212,19
2213,19
2214,19
2215,19
2216,19
2217,19
2218,19
2219,19
2220,19
2221,19
2222,19
2223,19
2224,19
2225,19
2226,19
2227,19
2228,19
2229,19
2230,19
2231,19
2232,19
2233,19
2234,19
2235,19
2236,19
2237,19
2238,19
2239,19
2240,19
2241,19
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2265,1
2266,1
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,1
2294,24
2295,24
2296,24
2297,24
2298,24
2299,24
2300,24
2301,24
2302,24
2303,24
2304,24
2305,24
2306,24
2307,24
2308,24
2309,24
2310,24
2311,24
2312,24
2313,24
2314,24
2315,24
2316,24
2317,24
2318,24
2319,24
2320,24
2321,24
2322,24
2323,24
2324,24
2325,24
2326,24
2327,24
2328,24
2329,24
2330,24
2331,24
2332,24
2333,24
2334,24
2335,24
2336,24
2337,24
2338,24
2339,24
2340,24
2341,24
2342,24
2343,24
2344,24
2345,24
2346,24
2347,24
2348,24
2349,24
2350,24
2351,24
2352,24
2353,24
2354,24
2355,24
2356,24
2357,24
2358,24
2359,24
2360,24
2361,24
2362,24
2363,24
2364,24
2365,24
2366,24
2367,24
2368,24
2369,24
2370,24
2371,24
2372,24
2373,24
2374,24
2375,24
2376,24
2377,24
2378,24
2379,24
2380,24
2381,24
2382,24
2383,24
2384,24
2385,24
2386,24
2387,24
2388,24
2389,24
2390,24
2391,24
2392,24
2393,24
2394,24
2395,24
2396,24
2397,24
2398,24
2399,24
2400,24
2401,11
2402,11
2403,11
2404,11
2405,11
2406,11
2407,11
2408,11
2409,11
2410,11
2411,11
2412,11
2413,11
2414,11
2415,11
2416,11
2417,11
2418,11
2419,11
2420,11
2421,11
2422,11
2423,11
2424,11
2425,11
2426,11
2427,11
2428,11
2429,11
2430,11
2431,11
2432,11
2433,11
2434,11
2435,11
2436,11
2437,11
2438,11
2439,11
2440,11
2441,11
2442,11
2443,11
2444,11
2445,11
2446,11
2447,11
2448,11
2449,11
2450,11
2451,11
2452,11
2453,11
2454,11
2455,11
2456,11
2457,11
2458,11
2459,11
2460,11
2461,11
2462,11
2463,11
2464,11
2465,11
2466,11
2467,11
2468,11
2469,11
2470,11
2471,11
2472,11
2473,11
2474,11
2475,11
2476,11
2477,11
2478,11
2479,11
2480,11
2481,11
2482,11
2483,11
2484,11
2485,11
2486,11
2487,11
2488,11
2489,11
2490,11
2491,11
2492,11
2493,11
2494,11
2495,11
2496,11
2497,11
2498,11
2499,11
2500,11
2501,11
2502,11
